,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
0, 1 ,  BTC Bitcoin ,BTC," $140,997,300,519 ", $8304.15 ,"  16,979,137 "," $5,253,660,000 ",-0.29%,4.52%,18.09%
1, 2 ,  ETH Ethereum ,ETH," $51,909,458,871 ", $525.21 ,"  98,835,814 "," $1,639,400,000 ",-0.24%,6.68%,32.10%
2, 3 ,  XRP Ripple ,XRP," $26,280,737,520 ", $0.671750 ,"  39,122,794,968 * "," $594,447,000 ",-0.72%,7.64%,35.68%
3, 4 ,  BCH Bitcoin Cash ,BCH," $13,313,875,240 ", $779.74 ,"  17,074,850 "," $311,317,000 ",-0.55%,6.95%,19.29%
4, 5 ,  LTC Litecoin ,LTC," $7,346,038,294 ", $130.96 ,"  56,094,613 "," $259,630,000 ",-0.59%,4.16%,11.47%
5, 6 ,  EOS EOS ,EOS," $6,693,343,875 ", $8.42 ,"  794,936,784 * "," $1,028,860,000 ",-0.63%,1.04%,41.38%
6, 7 ,  ADA Cardano ,ADA," $5,727,782,496 ", $0.220919 ,"  25,927,070,538 * "," $152,104,000 ",1.07%,11.86%,42.27%
7, 8 ,  XLM Stellar ,XLM," $5,318,335,563 ", $0.286553 ,"  18,559,692,493 * "," $114,175,000 ",-1.70%,16.26%,39.96%
8, 9 ,  MIOTA IOTA ,MIOTA," $4,531,190,267 ", $1.63 ,"  2,779,530,283 * "," $109,063,000 ",0.00%,20.49%,59.31%
9, 10 ,  NEO NEO ,NEO," $4,480,313,500 ", $68.93 ,"  65,000,000 * "," $114,459,000 ",-0.98%,9.84%,44.72%
10, 11 ,  XMR Monero ,XMR," $3,234,486,337 ", $203.02 ,"  15,932,174 "," $53,383,700 ",-0.14%,6.97%,18.12%
11, 12 ,  DASH Dash ,DASH," $3,066,055,376 ", $382.71 ,"   8,011,349 "," $89,009,900 ",0.36%,7.01%,24.73%
12, 13 ,  XEM NEM ,XEM," $2,967,750,000 ", $0.329750 ,"  8,999,999,999 * "," $67,555,600 ",-2.54%,13.51%,43.76%
13, 14 ,  TRX TRON ,TRX," $2,773,610,389 ", $0.042185 ,"  65,748,111,645 * "," $278,422,000 ",0.18%,6.01%,12.03%
14, 15 ,  USDT Tether ,USDT," $2,285,802,836 ", $0.999415 ,"  2,287,140,814 * "," $2,083,430,000 ",0.06%,-0.17%,-0.01%
15, 16 ,  VEN VeChain ,VEN," $1,804,386,539 ", $3.43 ,"  525,770,505 * "," $69,713,800 ",-0.22%,6.33%,35.96%
16, 17 ,  ETC Ethereum Classic ,ETC," $1,687,177,689 ", $16.68 ,"  101,178,251 "," $124,588,000 ",-0.78%,5.17%,19.14%
17, 18 ,  BNB Binance Coin ,BNB," $1,495,047,101 ", $13.11 ,"  114,041,290 * "," $118,255,000 ",0.04%,-0.48%,6.70%
18, 19 ,  QTUM Qtum ,QTUM," $1,484,056,908 ", $16.76 ,"  88,524,836 * "," $184,348,000 ",-0.54%,7.29%,24.89%
19, 20 ,  OMG OmiseGO ,OMG," $1,456,075,784 ", $14.27 ,"  102,042,552 * "," $65,216,100 ",-0.40%,7.03%,51.64%
20, 21 ,  XVG Verge ,XVG," $1,331,495,741 ", $0.089490 ,"  14,878,759,691 "," $169,556,000 ",-1.45%,-2.58%,38.51%
21, 22 ,  ONT Ontology ,ONT," $1,092,263,166 ", $4.53 ,"  241,236,451 * "," $69,248,000 ",0.06%,7.89%,26.98%
22, 23 ,  LSK Lisk ,LSK," $1,082,278,450 ", $10.42 ,"  103,879,451 * "," $16,427,400 ",-0.28%,6.05%,14.38%
23, 24 ,  ICX ICON ,ICX," $1,030,008,307 ", $2.66 ,"  387,231,358 * "," $33,015,100 ",-1.13%,7.29%,28.50%
24, 25 ,  BTM Bytom ,BTM," $907,736,004 ", $0.919692 ,"  987,000,000 * "," $59,382,600 ",1.42%,8.15%,77.51%
25, 26 ,  ZEC Zcash ,ZEC," $867,298,596 ", $233.96 ,"  3,707,006 "," $50,894,600 ",0.19%,5.71%,27.71%
26, 27 ,  NANO Nano ,NANO," $828,958,927 ", $6.22 ,"  133,248,289 * "," $12,004,300 ",0.17%,5.04%,19.35%
27, 28 ,  BTG Bitcoin Gold ,BTG," $813,510,990 ", $48.01 ,"  16,944,686 "," $11,811,900 ",-0.77%,6.60%,14.39%
28, 29 ,  BCN Bytecoin ,BCN," $689,366,293 ", $0.003750 ,"  183,839,345,441 "," $7,176,790 ",-3.52%,19.23%,72.84%
29, 30 ,  STEEM Steem ,STEEM," $684,370,015 ", $2.69 ,"  254,439,129 * "," $8,920,320 ",-0.76%,4.44%,41.65%
30, 31 ,  WAN Wanchain ,WAN," $647,127,887 ", $6.10 ,"  106,152,493 * "," $22,084,900 ",-1.11%,8.71%,59.79%
31, 32 ,  SC Siacoin ,SC," $616,648,462 ", $0.018245 ,"  33,798,772,350 "," $25,885,600 ",1.79%,8.28%,62.77%
32, 33 ,  PPT Populous ,PPT," $608,187,085 ", $16.44 ,"  37,004,027 * "," $1,432,060 ",0.28%,6.05%,34.36%
33, 34 ,  RHOC RChain ,RHOC," $592,685,234 ", $1.65 ,"  359,752,612 * "," $390,015 ",20.43%,38.82%,68.79%
34, 35 ,  BTS BitShares ,BTS," $584,283,538 ", $0.223344 ,"  2,616,070,000 * "," $51,011,600 ",0.80%,21.03%,55.50%
35, 36 ,  BTCP Bitcoin Private ,BTCP," $545,002,622 ", $26.71 ,"  20,403,830 "," $445,714 ",-0.97%,15.84%,79.55%
36, 37 ,  DOGE Dogecoin ,DOGE," $512,831,542 ", $0.004497 ,"  114,031,490,697 "," $10,862,600 ",0.67%,10.80%,57.37%
37, 38 ,  STRAT Stratis ,STRAT," $495,543,183 ", $5.01 ,"  98,817,717 * "," $7,388,460 ",0.15%,9.96%,33.22%
38, 39 ,  WAVES Waves ,WAVES," $489,038,000 ", $4.89 ,"  100,000,000 * "," $28,193,800 ",-0.32%,10.74%,34.81%
39, 40 ,  DGD DigixDAO ,DGD," $486,086,000 ", $243.04 ,"  2,000,000  * "," $9,485,140 ",-0.42%,4.18%,12.35%
40, 41 ,  MKR Maker ,MKR," $469,552,028 ", $759.51 ,"  618,228 * "," $120,036 ",0.14%,7.23%,45.08%
41, 42 ,  DCR Decred ,DCR," $469,186,497 ", $65.78 ,"  7,132,423 "," $13,536,200 ",6.48%,11.79%,31.21%
42, 43 ,  ZIL Zilliqa ,ZIL," $449,637,035 ", $0.061729 ,"  7,284,013,186 * "," $16,692,600 ",-0.44%,11.19%,44.91%
43, 44 ,  BCD Bitcoin Diamond ,BCD," $436,197,787 ", $2.85 ,"  153,115,250 "," $2,232,500 ",-1.24%,-1.41%,13.45%
44, 45 ,  AE Aeternity ,AE," $422,675,834 ", $1.81 ,"  233,020,472 * "," $5,884,520 ",0.34%,7.94%,29.17%
45, 46 ,  SNT Status ,SNT," $420,029,182 ", $0.121029 ,"  3,470,483,788 * "," $40,494,000 ",-1.22%,9.77%,33.75%
46, 47 ,  ZRX 0x ,ZRX," $398,790,016 ", $0.762826 ,"  522,779,790 * "," $9,498,020 ",-0.16%,7.87%,34.13%
47, 48 ,  KMD Komodo ,KMD," $387,414,745 ", $3.72 ,"  104,052,004 "," $6,643,970 ",-0.38%,3.50%,41.79%
48, 49 ,  AION Aion ,AION," $368,655,868 ", $2.95 ,"  125,144,566 * "," $11,127,100 ",1.60%,5.87%,36.94%
49, 50 ,  LRC Loopring ,LRC," $359,431,833 ", $0.628296 ,"  572,074,043 * "," $12,121,100 ",-1.79%,2.97%,55.72%
50, 51 ,  GNT Golem ,GNT," $355,374,755 ", $0.425975 ,"  834,262,000 * "," $60,615,700 ",-2.33%,0.05%,112.90%
51, 52 ,  REP Augur ,REP," $335,932,300 ", $30.54 ,"  11,000,000 * "," $3,512,820 ",-0.24%,3.97%,22.41%
52, 53 ,  IOST IOStoken ,IOST," $321,998,880 ", $0.038333 ,"  8,400,000,000 * "," $65,152,800 ",-0.74%,4.62%,10.97%
53, 54 ,  ARDR Ardor ,ARDR," $317,924,596 ", $0.318243 ,"  998,999,495 * "," $3,046,670 ",-0.52%,7.53%,27.43%
54, 55 ,  DGB DigiByte ,DGB," $309,626,492 ", $0.030600 ,"  10,118,578,933 "," $7,915,900 ",1.13%,6.55%,63.92%
55, 56 ,  HSR Hshare ,HSR," $300,333,520 ", $7.01 ,"  42,865,842 "," $19,770,900 ",-1.48%,7.36%,33.05%
56, 57 ,  KCS KuCoin Shares ,KCS," $295,402,917 ", $3.24 ,"  91,043,076 * "," $600,108 ",1.13%,3.53%,39.33%
57, 58 ,  ARK Ark ,ARK," $287,515,245 ", $2.82 ,"  101,916,006  * "," $5,814,590 ",-0.33%,10.59%,32.94%
58, 59 ,  WTC Waltonchain ,WTC," $275,615,361 ", $11.07 ,"  24,898,178 * "," $2,820,780 ",-0.44%,4.26%,25.31%
59, 60 ,  CNX Cryptonex ,CNX," $263,432,919 ", $5.83 ,"  45,218,170 "," $1,524,740 ",-0.25%,5.39%,16.86%
60, 61 ,  PIVX PIVX ,PIVX," $262,351,029 ", $4.69 ,"  55,980,281 * "," $3,125,180 ",-0.26%,5.44%,19.11%
61, 62 ,  BAT Basic Attenti... ,BAT," $260,129,000 ", $0.260129 ,"  1,000,000,000 * "," $4,665,520 ",-0.87%,3.31%,29.96%
62, 63 ,  ELF aelf ,ELF," $249,983,500 ", $0.999934 ,"  250,000,000 * "," $55,385,000 ",-0.88%,4.45%,59.24%
63, 64 ,  DRGN Dragonchain ,DRGN," $245,288,492 ", $1.03 ,"  238,421,940 * "," $1,580,510 ",3.99%,17.70%,44.20%
64, 65 ,  SUB Substratum ,SUB," $237,484,894 ", $0.620031 ,"  383,021,000 * "," $8,843,730 ",2.41%,21.17%,57.02%
65, 66 ,  FCT Factom ,FCT," $233,407,647 ", $26.69 ,"  8,745,102 * "," $2,047,600 ",3.17%,2.48%,28.58%
66, 67 ,  VERI Veritaseum ,VERI," $230,784,515 ", $113.32 ,"  2,036,645 * "," $427,242 ",0.32%,5.15%,16.37%
67, 68 ,  QASH QASH ,QASH," $228,363,100 ", $0.652466 ,"  350,000,000 * "," $3,560,970 ",0.24%,4.73%,16.76%
68, 69 ,  CENNZ Centrality ,CENNZ," $222,000,050 ", $0.333104 ,"  666,458,675 * "," $67,517 ",-1.33%,5.60%,12.18%
69, 70 ,  MONA MonaCoin ,MONA," $214,146,888 ", $3.64 ,"  58,790,700 "," $1,248,300 ",-0.92%,2.35%,11.20%
70, 71 ,  SYS Syscoin ,SYS," $206,844,235 ", $0.388576 ,"  532,313,460 "," $5,516,310 ",0.16%,7.01%,39.95%
71, 72 ,  MITH Mithril ,MITH," $206,363,394 ", $0.677414 ,"  304,634,084 * "," $123,310,000 ",0.57%,13.75%,248.84%
72, 73 ,  GAS Gas ,GAS," $203,160,159 ", $20.13 ,"  10,091,254 * "," $4,987,160 ",0.57%,10.92%,36.21%
73, 74 ,  ETHOS Ethos ,ETHOS," $202,214,295 ", $2.65 ,"  76,396,940 * "," $7,546,200 ",0.08%,5.01%,33.30%
74, 75 ,  FUN FunFair ,FUN," $201,032,908 ", $0.042560 ,"  4,723,473,189 * "," $7,726,180 ",-0.49%,4.77%,40.34%
75, 76 ,  ELA Elastos ,ELA," $200,061,344 ", $40.21 ,"  4,975,103 "," $40,172,600 ",-0.01%,6.42%,12.45%
76, 77 ,  NXT Nxt ,NXT," $191,330,467 ", $0.191522 ,"  998,999,942 * "," $9,854,050 ",-2.63%,18.77%,62.00%
77, 78 ,  NAS Nebulas ,NAS," $185,195,335 ", $5.22 ,"  35,500,000 * "," $11,440,200 ",0.52%,3.56%,12.42%
78, 79 ,  KNC Kyber Network ,KNC," $184,317,104 ", $1.37 ,"  134,132,697 * "," $11,982,200 ",2.35%,8.42%,35.32%
79, 80 ,  NCASH Nucleus Vision ,NCASH," $179,803,591 ", $0.044506 ,"  4,039,985,425 * "," $20,030,600 ",1.07%,5.76%,46.63%
80, 81 ,  GXS GXChain ,GXS," $178,324,800 ", $2.97 ,"  60,000,000 * "," $18,054,400 ",-0.10%,2.70%,15.10%
81, 82 ,  RDD ReddCoin ,RDD," $175,036,268 ", $0.006076 ,"  28,808,713,174 * "," $5,676,320 ",0.50%,5.65%,49.09%
82, 83 ,  GBYTE Byteball Bytes ,GBYTE," $173,615,705 ", $269.08 ,"  645,222 * "," $310,959 ",0.28%,8.21%,42.36%
83, 84 ,  ETN Electroneum ,ETN," $168,626,909 ", $0.025101 ,"  6,717,909,116 "," $806,928 ",-0.90%,3.34%,12.65%
84, 85 ,  SALT SALT ,SALT," $167,826,001 ", $2.93 ,"  57,358,370 * "," $7,468,340 ",-0.26%,8.75%,41.73%
85, 86 ,  R Revain ,R," $165,817,968 ", $0.898986 ,"  184,450,000 * "," $2,067,090 ",-0.60%,8.59%,17.25%
86, 87 ,  MAID MaidSafeCoin ,MAID," $161,431,329 ", $0.356713 ,"  452,552,412 * "," $1,467,940 ",-0.57%,9.92%,31.33%
87, 88 ,  POWR Power Ledger ,POWR," $158,320,404 ", $0.433821 ,"  364,944,076 * "," $14,187,000 ",-0.72%,5.68%,36.17%
88, 89 ,  XZC ZCoin ,XZC," $157,542,017 ", $34.72 ,"  4,537,291 "," $1,307,090 ",1.78%,5.46%,18.85%
89, 90 ,  WAX WAX ,WAX," $155,872,631 ", $0.251810 ,"  619,008,898 * "," $5,319,820 ",-0.59%,13.00%,51.46%
90, 91 ,  STORM Storm ,STORM," $153,850,864 ", $0.037627 ,"  4,088,853,037 * "," $59,791,600 ",-1.33%,9.71%,27.64%
91, 92 ,  XIN Mixin ,XIN," $152,265,456 ", $369.35 ,"  412,254 * "," $339,828 ",-0.78%,2.98%,41.88%
92, 93 ,  LINK ChainLink ,LINK," $148,577,450 ", $0.424507 ,"  350,000,000 * "," $9,727,900 ",-0.10%,8.28%,35.43%
93, 94 ,  BNT Bancor ,BNT," $143,972,972 ", $3.16 ,"  45,567,556 * "," $9,907,250 ",-0.62%,5.20%,35.58%
94, 95 ,  ENG Enigma ,ENG," $143,193,026 ", $1.91 ,"  74,836,171 * "," $7,557,470 ",-0.05%,8.25%,30.15%
95, 96 ,  SKY Skycoin ,SKY," $142,623,400 ", $17.72 ,"  8,048,770 * "," $4,607,130 ",2.40%,-5.06%,33.43%
96, 97 ,  REQ Request Network ,REQ," $139,525,505 ", $0.210458 ,"  662,961,279 * "," $4,019,830 ",-0.20%,3.92%,26.32%
97, 98 ,  NEBL Neblio ,NEBL," $138,907,436 ", $10.68 ,"  13,003,757 * "," $10,124,800 ",-0.76%,7.97%,36.86%
98, 99 ,  PAY TenX ,PAY," $138,273,279 ", $1.27 ,"  108,958,961 * "," $4,910,390 ",0.27%,3.47%,39.00%
99, 100 ,  STORJ Storj ,STORJ," $129,595,491 ", $0.954399 ,"  135,787,539 * "," $10,970,500 ",-0.19%,6.10%,26.73%
100, 101 ,  PART Particl ,PART," $127,627,245 ", $14.29 ,"  8,933,728 * "," $2,282,730 ",0.11%,6.84%,11.88%
101, 102 ,  CND Cindicator ,CND," $127,261,990 ", $0.088011 ,"  1,445,976,590 * "," $1,814,780 ",-0.75%,6.46%,37.44%
