,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Coin
0,135.3,135.98,132.1,134.21,-,1500520000,129.77,130.58,125.6,129.0,-,1454310000,96.02,97.0,93.0,94.12,-,1100900000,197.69,198.87,168.5,186.69,-,2351780000,488.36,493.25,485.82,491.3,9814530,6192560000,222.85,224.32,220.88,223.36,12939000,3134170000,BTC
0,2.83,3.54,2.52,2.77,164329,-,1.34,1.37,1.29,1.3,491968,97625500,0.900699,0.991259,0.860382,0.8956370000000001,1179840,67070700,2.43,2.54,2.34,2.53,3987750,186609000,11.89,12.01,10.94,10.94,23999500,981735000,204.86,206.44,201.26,204.32,393283000,19169800000,ETH
0,0.005874,0.005927,0.005874,0.005882,-,45921000,0.005518,0.005693,0.005405,0.0056700000000000006,-,43139800,0.006346,0.006849,0.006219,0.006814,-,49616200,0.020322,0.020578,0.020121,0.020503999999999998,98529,158873000,0.006065,0.006083,0.00509,0.005097,474010,50051600,0.007655,0.007892,0.007632,0.007888,237028,244248000,XRP
0,555.89,578.97,411.78,413.06,85013,-,596.19,734.88,570.27,690.88,1393260000,9844620000,326.75,328.45,317.46,323.36,129938000,5458980000,1740.17,1870.78,1723.87,1769.62,743247000,29442200000,,,,,,,,,,,,,BCH
0,4.3,4.4,4.18,4.35,-,73773400,3.1,3.13,3.02,3.09,-,55916500,2.9,2.94,2.84,2.88,-,57328700,2.29,2.65,2.12,2.18,-,51325700,12.04,12.21,11.98,12.13,2381190,333391000,1.41,1.42,1.39,1.41,733823,53929900,LTC
0,1.03,1.07,0.989566,1.01,13613000,-,1.77,1.79,1.71,1.74,29657700,446574000,0.816964,0.835309,0.704876,0.717272,15499400,305136000,10.54,10.57,8.41,9.57,478886000,5978450000,,,,,,,,,,,,,EOS
0,0.021678,0.032226,0.017354,0.024968999999999998,50068700,-,0.028547,0.030714,0.028075,0.030437,7304450,740140000,0.528316,0.777385,0.471556,0.639243,645156000,13697700000,0.146654,0.151782,0.136317,0.14720899999999998,119874000,3802310000,,,,,,,,,,,,,ADA
0,0.002976,0.003387,0.002349,0.00244,30316,772597,0.002059,0.002177,0.002041,0.00213,58031,2296730,0.001582,0.001761,0.001581,0.001693,15149,2357680,0.004325,0.00439,0.003901,0.004142,70975,15527200,0.002811,0.002857,0.002628,0.002644,12919,13599100,0.002274,0.002336,0.002092,0.002143,126331,12854900,XLM
0,0.181483,0.558951,0.181357,0.558478,1349,-,0.205045,0.205045,0.178857,0.186541,30052,-,0.137448,0.138971,0.134429,0.134429,31065,6872400,0.122602,0.128715,0.116242,0.11624200000000001,5536,6130100,30.44,30.44,17.4,21.83,189917000,1522090000,,,,,,,NEO
0,0.638503,0.652862,0.53391,0.590255,25425600,1774740000,0.229099,0.238625,0.194249,0.21458899999999997,4129150,636787000,0.49838,0.558273,0.481498,0.5582729999999999,23660500,1385260000,4.66,4.66,3.77,4.13,601040000,12946400000,,,,,,,,,,,,,MIOTA
0,2.47,2.65,1.23,1.6,246540,2079640,3.17,4.59,3.12,4.56,543764,4844000,1.45,1.65,1.39,1.65,98273,4013520,0.651929,0.676593,0.556251,0.58478,152764,3039770,0.546561,0.623946,0.534678,0.595673,48492,4187560,0.825951,0.875618,0.812145,0.829463,134752,9770550,XMR
0,0.213899,0.378883,0.213899,0.37402399999999997,15422,702537,0.791673,0.800764,0.755205,0.775647,39429,2924440,4.01,7.34,4.0,5.76,3215550,17183700,5.02,5.09,4.34,4.86,287212,22864000,1.84,2.27,1.83,2.17,270445,9392880,4.18,4.36,4.12,4.29,100963,25855900,DASH
0,0.0004,0.000458,0.00017,0.000242,65525,3604110,0.000157,0.000158,0.000153,0.000156,692,1412990,0.00015,0.000163,0.000148,0.000161,5197,1346030,0.000132,0.000144,0.000129,0.000139,1641,1188700,0.001247,0.001801,0.001247,0.001484,695940,11227000,0.014403,0.015973,0.01398,0.0158,1174180,129631000,XEM
0,0.002051,0.002448,0.001711,0.0019879999999999997,48512,-,0.002345,0.00251,0.002022,0.002113,184709,153327000,0.005177,0.007675,0.004903,0.007613,48699100,340378000,0.038561,0.039508,0.034644,0.036132,228565000,2535330000,,,,,,,,,,,,,TRX
0,1.21,1.22,1.21,1.21,6,304476,1.0,1.0,1.0,1.0,5,251600,1.0,1.0,1.0,1.0,1244,451600,1.0,1.0,1.0,1.0,73637,451600,1.0,1.0,1.0,1.0,57051,1451600,1.0,1.0,1.0,1.0,2438910,24951000,USDT
