,name,code_id,Points,is_closed,likes,link,talking_about,date
0,LIFE,381189,1435,false,1435.0,https://www.facebook.com/LIFElabsHQ/,119,2018-04-15
1,XTRABYTES,66694,5546,false,5546.0,https://www.facebook.com/XTRABYTESOfficial/,110,2018-04-15
2,SingularityNET,710156,0,false,0.0,https://www.facebook.com/singularityNET.io/,306,2018-04-15
3,,202714,0,,,,,2018-04-15
4,,301112,0,,,,,2018-04-15
5,NYCoin,247232,1606,false,1606.0,https://www.facebook.com/NewYorkCoinCommunity/,15,2018-04-15
6,,517795,0,,,,,2018-04-15
7,,3649,0,,,,,2018-04-15
8,,7624,0,,,,,2018-04-15
9,Spindle,847305,0,false,0.0,https://www.facebook.com/spindlespd/,792,2018-04-15
10,SportyCo,639943,26844,false,26844.0,https://www.facebook.com/SportyCo.io/,223,2018-04-15
11,,5029,0,,,,,2018-04-15
12,,7625,0,,,,,2018-04-15
13,,3646,0,,,,,2018-04-15
14,,26194,0,,,,,2018-04-15
15,Bytecent,5308,639,false,639.0,https://www.facebook.com/bytecent/,2,2018-04-15
16,iXledger,141171,1418,false,1418.0,https://www.facebook.com/iXledger/,16,2018-04-15
17,SunContract,179926,0,false,0.0,https://www.facebook.com/suncontract.org/,422,2018-04-15
18,,20745,0,,,,,2018-04-15
19,,4558,0,,,,,2018-04-15
20,,136244,0,,,,,2018-04-15
21,Status.im,137013,0,false,0.0,https://www.facebook.com/ethstatus/,348,2018-04-15
22,,404752,0,,,,,2018-04-15
23,Xgoxcoin,380754,526,false,526.0,https://www.facebook.com/xgoxcoin/,2,2018-04-15
24,,446051,0,,,,,2018-04-15
25,SophiaTX,379248,40765,false,40765.0,https://www.facebook.com/SophiaTXC/,34,2018-04-15
26,EventChain.io,308072,0,false,0.0,https://www.facebook.com/EventChain/,22,2018-04-15
27,,719223,0,,,,,2018-04-15
28,The Bee Token,764334,0,false,0.0,https://www.facebook.com/thebeetoken/,39,2018-04-15
29,Everex,194883,0,false,0.0,https://www.facebook.com/everex.io/,72,2018-04-15
30,Everus,340966,27043,false,27043.0,https://www.facebook.com/everusworld/,503,2018-04-15
31,,4337,0,,,,,2018-04-15
32,Lisk,19745,0,false,0.0,https://www.facebook.com/LiskHQ/,461,2018-04-15
33,,5391,0,,,,,2018-04-15
34,,4627,0,,,,,2018-04-15
35,,13070,0,,,,,2018-04-15
36,,5375,0,,,,,2018-04-15
37,Gridcoin,5309,0,false,0.0,https://www.facebook.com/gridcoins/,35,2018-04-15
38,,375396,0,,,,,2018-04-15
39,Centra Tech,225277,117995,false,117995.0,https://www.facebook.com/CentraCard/,46,2018-04-15
40,,29935,0,,,,,2018-04-15
41,CarTaxi ICO,278056,5244,false,5244.0,https://www.facebook.com/CarTaxi-ICO-1905979582989363/,68,2018-04-15
42,Mobius,202706,1757,false,1757.0,https://www.facebook.com/mobiusnet/,23,2018-04-15
43,,347067,0,,,,,2018-04-15
44,,112392,0,,,,,2018-04-15
45,Dropil,820902,7152,false,7152.0,https://www.facebook.com/DropilCoin/,185,2018-04-15
46,DOVU,360827,2185,false,2185.0,https://www.facebook.com/DOVUglobal/,30,2018-04-15
47,FirstBlood,28328,0,false,0.0,https://www.facebook.com/firstbloodio/,271,2018-04-15
48,Decent.bet,380712,10345,false,10345.0,https://www.facebook.com/decentbet/,65,2018-04-15
49,Bulwark,453855,214,false,214.0,https://www.facebook.com/bulwark.coin.IO/,26,2018-04-15
50,,55676,0,,,,,2018-04-15
51,Eidoo,310297,0,false,0.0,https://www.facebook.com/eidoocrypto/,103,2018-04-15
52,Iex ec,61877,0,false,0.0,https://www.facebook.com/iexecteam/,411,2018-04-15
53,E-Dinar Worldwide,27634,23433,false,23433.0,https://www.facebook.com/EDinarCoinWorld/,255,2018-04-15
54,,70469,0,,,,,2018-04-15
55,,4583,0,,,,,2018-04-15
56,Unikoin Gold,371005,0,false,0.0,https://www.facebook.com/UnikoinGold/,36,2018-04-15
57,,34506,0,,,,,2018-04-15
58,LATOKEN,184163,32694,false,32694.0,https://www.facebook.com/LiquidAssetToken/,1058,2018-04-15
59,Ong.social,428300,1038,false,1038.0,https://www.facebook.com/OfficialonGsocial/,10,2018-04-15
60,,171884,0,,,,,2018-04-15
61,Ontology,808414,2237,false,2237.0,https://www.facebook.com/ONTnetwork/,402,2018-04-15
62,,25917,0,,,,,2018-04-15
63,,4442,0,,,,,2018-04-15
64,,586567,0,,,,,2018-04-15
65,,136984,0,,,,,2018-04-15
66,Digitalpandacoin,37366,305,false,305.0,https://www.facebook.com/Pandacoin.PND/,4,2018-04-15
67,,20333,0,,,,,2018-04-15
68,,30024,0,,,,,2018-04-15
69,Paragon Coin,225764,0,false,0.0,https://www.facebook.com/paragoncoin/,127,2018-04-15
70,,177863,0,,,,,2018-04-15
71,,429355,0,,,,,2018-04-15
72,Propy,185695,6553,false,6553.0,https://www.facebook.com/propyinc/,75,2018-04-15
73,,43998,0,,,,,2018-04-15
74,,56249,0,,,,,2018-04-15
75,Waves Platform,75475,66528,false,66528.0,https://www.facebook.com/wavesplatform/,990,2018-04-15
