,name,code_id,Points,account_creation,favourites,followers,following,link,lists,statuses,date
0,LIFElabs,381189,513,2017-05-29 18:45:14,81,4696.0,336,https://twitter.com/LIFElabsHQ,44.0,590.0,2018-04-15
1,XTRABYTES,66694,1136,2017-04-28 03:16:12,1372,9907.0,191,https://twitter.com/XtraBYtes,146.0,821.0,2018-04-15
2,SingularityNET,710156,1821,2017-10-04 14:53:17,887,15766.0,277,https://twitter.com/singularity_net,245.0,663.0,2018-04-15
3,BitDice,202714,429,2014-09-15 11:20:27,18,3549.0,25,https://twitter.com/BitDice,75.0,267.0,2018-04-15
4,Ormeus Coin,301112,734,2017-08-12 13:00:16,105,6988.0,12,https://twitter.com/ormeuscoin,36.0,121.0,2018-04-15
5,New York Coin Community,247232,37,2018-02-02 16:54:13,155,353.0,159,https://twitter.com/nycoincommunity,2.0,196.0,2018-04-15
6,B2Broker | B2BX,517795,418,2016-09-12 06:03:33,31,3908.0,5,https://twitter.com/b2broker_net,28.0,278.0,2018-04-15
7,,3649,0,,,,,,,,2018-04-15
8,,7624,0,,,,,,,,2018-04-15
9,SPINDLE,847305,275,2018-04-12 12:21:27,3,2743.0,7,https://twitter.com/spindlezone,1.0,11.0,2018-04-15
10,sportyfi_io,639943,0,2018-02-01 13:34:04,0,3.0,0,https://twitter.com/sportyfi_io,0.0,1.0,2018-04-15
11,Primecoin,5029,1306,2013-07-10 16:45:46,89,10842.0,6256,https://twitter.com/Primecoin,222.0,759.0,2018-04-15
12,goldpieces,7625,52,2015-01-09 13:14:25,257,403.0,141,https://twitter.com/Gold_Pieces,12.0,194.0,2018-04-15
13,PetroDollar,3646,94,2014-02-17 14:19:48,1,686.0,16,https://twitter.com/ThePetroDollar,26.0,90.0,2018-04-15
14,,26194,0,,,,,,,,2018-04-15
15,Bytecent,5308,265,2014-11-07 02:57:42,0,1904.0,3,https://twitter.com/Bytecent_BYC,75.0,6.0,2018-04-15
16,iXledger,141171,1094,2017-06-08 12:00:11,668,9901.0,370,https://twitter.com/iXledgertech,104.0,138.0,2018-04-15
17,SunContract,179926,1493,2016-06-16 15:40:42,663,13871.0,41,https://twitter.com/sun_contract,106.0,579.0,2018-04-15
18,aeon,20745,22,2014-06-06 18:23:00,23,202.0,284,https://twitter.com/AeonCoin,2.0,110.0,2018-04-15
19,Maxcoin Project,4558,12,2017-07-30 17:25:52,0,67.0,0,https://twitter.com/maxcoinproject,6.0,0.0,2018-04-15
20,SONM,136244,3186,2017-01-09 08:20:38,72,27437.0,31,https://twitter.com/sonmdevelopment,443.0,622.0,2018-04-15
21,Status,137013,10792,2016-09-10 19:22:29,1170,95529.0,249,https://twitter.com/ethstatus,1240.0,752.0,2018-04-15
22,Magnetwork.io,404752,167,2017-11-09 09:27:34,9,1429.0,7,https://twitter.com/magnetwork_io,25.0,86.0,2018-04-15
23,XGOX ($xGOx),380754,629,2017-10-12 12:31:32,119,6017.0,261,https://twitter.com/XgoxCoin,28.0,235.0,2018-04-15
24,People Coin,446051,121,2017-07-08 22:29:17,3,1189.0,476,https://twitter.com/peoplecoinnews,3.0,13.0,2018-04-15
25,SophiaTX,379248,1564,2017-08-14 07:37:54,249,14227.0,477,https://twitter.com/Sophia_TX_,142.0,401.0,2018-04-15
26,EventChain,308072,2848,2017-05-14 22:23:09,334,27996.0,880,https://twitter.com/EventChain_io,49.0,383.0,2018-04-15
27,Devery.io,719223,278,2017-09-28 08:12:14,24,2384.0,62,https://twitter.com/deveryofficial,40.0,36.0,2018-04-15
28,The Bee Token,764334,3780,2017-09-10 17:31:33,699,35284.0,1724,https://twitter.com/thebeetoken,252.0,748.0,2018-04-15
29,Everex,194883,1638,2016-04-09 12:17:13,422,13669.0,828,https://twitter.com/everexio,272.0,466.0,2018-04-15
30,everus,340966,88,2017-07-21 01:42:14,63,745.0,80,https://twitter.com/everusworld,14.0,238.0,2018-04-15
31,Betacoin,4337,72,2013-11-21 20:34:16,0,491.0,702,https://twitter.com/Betacoin,23.0,70.0,2018-04-15
32,Lisk,19745,20864,2016-01-07 16:42:08,3943,186991.0,331,https://twitter.com/LiskHQ ,2164.0,1570.0,2018-04-15
33,BitcoinPlus,5391,74,2014-04-28 16:33:41,3,613.0,26,https://twitter.com/BitcoinPlusXBC,13.0,125.0,2018-04-15
34,TittieCoin™,4627,228,2014-01-21 20:07:37,317,1751.0,349,https://twitter.com/TittieCoin,44.0,9336.0,2018-04-15
